job_id,job_title,company,location,work_mode,experience,employment_type,skills,salary_lpa,date_posted,month_posted
1,Senior Data Analyst,Infosys,Mumbai,On-site,Junior (1-3 yrs),Full-time,"Machine Learning, SQL",6.0,2024-02-07,2024-02
2,Business Analyst,Infosys,Pune,Remote,Senior (5+ yrs),Full-time,"Git, Tableau, Python, NumPy, SQL",21.1,2024-03-07,2024-03
3,SQL Developer,HCL Technologies,Hyderabad,Hybrid,Fresher (0-1 yr),Contract,"Git, Tableau, Python, Pandas",3.6,2024-07-03,2024-07
4,Data Scientist,Zomato,Pune,Remote,Fresher (0-1 yr),Full-time,"Tableau, SQL, Power BI",4.7,2024-08-21,2024-08
5,SQL Developer,Cognizant,Delhi,Hybrid,Junior (1-3 yrs),Internship,"SQL, Excel, Power BI, Git",5.8,2024-11-23,2024-11
6,Business Analyst,Swiggy,Bangalore,On-site,Fresher (0-1 yr),Contract,"Tableau, SQL, Power BI, Git, Pandas",3.3,2024-07-21,2024-07
7,Python Developer,Accenture,Mumbai,On-site,Junior (1-3 yrs),Internship,"Git, NumPy, Machine Learning, Excel",4.9,2024-09-16,2024-09
8,Senior Data Analyst,TCS,Hyderabad,On-site,Junior (1-3 yrs),Internship,"Git, SQL, NumPy, Power BI, Tableau",8.0,2024-09-28,2024-09
9,Data Analyst,HCL Technologies,Mumbai,Remote,Mid (3-5 yrs),Full-time,"NumPy, Excel, Statistics, Python",13.7,2024-05-17,2024-05
10,Junior Data Analyst,HCL Technologies,Mumbai,Remote,Junior (1-3 yrs),Full-time,"Excel, Machine Learning, Python, Tableau",6.0,2024-06-27,2024-06
11,Data Scientist,Capgemini,Bangalore,On-site,Fresher (0-1 yr),Full-time,"SQL, Machine Learning, Excel, Git, Pandas",3.7,2024-05-17,2024-05
12,BI Analyst,IBM India,Pune,Remote,Mid (3-5 yrs),Contract,"Statistics, Machine Learning, Git, Python",8.7,2024-01-19,2024-01
13,Business Analyst,Capgemini,Bangalore,On-site,Fresher (0-1 yr),Full-time,"Python, Pandas",2.7,2024-11-16,2024-11
14,Business Analyst,Accenture,Gurgaon,On-site,Senior (5+ yrs),Contract,"SQL, Git, NumPy",16.6,2024-12-02,2024-12
15,Senior Data Analyst,TCS,Noida,Remote,Mid (3-5 yrs),Full-time,"Power BI, Git, Statistics",8.0,2024-08-08,2024-08
16,Senior Data Analyst,HDFC Bank,Hyderabad,On-site,Fresher (0-1 yr),Full-time,"Excel, NumPy, Statistics",3.7,2024-01-06,2024-01
17,BI Analyst,Infosys,Noida,Hybrid,Senior (5+ yrs),Contract,"Machine Learning, Statistics, Excel, SQL, Git",14.8,2024-12-18,2024-12
18,Data Analyst,Swiggy,Bangalore,On-site,Senior (5+ yrs),Internship,"Python, Machine Learning, SQL",23.1,2024-02-22,2024-02
19,Business Analyst,Google India,Hyderabad,Remote,Junior (1-3 yrs),Internship,"Git, SQL",5.7,2024-09-11,2024-09
20,Data Scientist,IBM India,Delhi,On-site,Mid (3-5 yrs),Contract,"Tableau, Statistics, Pandas",13.5,2024-01-15,2024-01
21,Senior Data Analyst,Wipro,Pune,Remote,Mid (3-5 yrs),Full-time,"SQL, Power BI, Pandas, Excel",8.1,2024-12-10,2024-12
22,Data Analyst,Flipkart,Hyderabad,On-site,Mid (3-5 yrs),Full-time,"Machine Learning, Excel",8.9,2024-12-11,2024-12
23,Business Analyst,Amazon India,Gurgaon,Hybrid,Fresher (0-1 yr),Full-time,"Tableau, Python, Machine Learning, Excel, SQL",4.1,2024-12-15,2024-12
24,BI Analyst,Infosys,Hyderabad,On-site,Junior (1-3 yrs),Internship,"Pandas, Machine Learning",4.6,2024-05-12,2024-05
