job_id,job_title,company,location,work_mode,experience,employment_type,skills,salary_lpa,date_posted
1,Senior Data Analyst,Infosys,mumbai,On-site,Junior (1-3 yrs),Full-time,"Machine Learning, SQL",,2024-02-07
2,Business Analyst,Infosys,pune,Remote,Senior (5+ yrs),Full-time,"Git, Tableau, Python, NumPy, SQL",21.1,2024-03-07
3,SQL Developer,HCL Technologies,hyderabad,Hybrid,Fresher (0-1 yr),Contract,"Git, Tableau, Python, Pandas",3.6,2024-07-03
4,Data Scientist,Zomato,pune,Remote,Fresher (0-1 yr),Full-time,"Tableau, SQL, Power BI",4.7,2024-08-21
5,SQL Developer,Cognizant,delhi,Hybrid,Junior (1-3 yrs),Internship,"SQL, Excel, Power BI, Git",5.8,2024-11-23
6,Business Analyst,Swiggy,bangalore,On-site,Fresher (0-1 yr),Contract,"Tableau, SQL, Power BI, Git, Pandas",3.3,2024-07-21
7,Python Developer,Accenture,mumbai,On-site,Junior (1-3 yrs),Internship,"Git, NumPy, Machine Learning, Excel",4.9,2024-09-16
8,Senior Data Analyst,TCS,hyderabad,On-site,Junior (1-3 yrs),Internship,"Git, SQL, NumPy, Power BI, Tableau",8.0,2024-09-28
9,Data Analyst,HCL Technologies,mumbai,Remote,Mid (3-5 yrs),Full-time,"NumPy, Excel, Statistics, Python",13.7,2024-05-17
10,Junior Data Analyst,HCL Technologies,mumbai,Remote,Junior (1-3 yrs),Full-time,"Excel, Machine Learning, Python, Tableau",,2024-06-27
11,Data Scientist,Capgemini,bangalore,On-site,Fresher (0-1 yr),Full-time,"SQL, Machine Learning, Excel, Git, Pandas",3.7,2024-05-17
12,BI Analyst,IBM India,pune,Remote,Mid (3-5 yrs),Contract,"Statistics, Machine Learning, Git, Python",8.7,2024-01-19
13,Business Analyst,Capgemini,bangalore,On-site,Fresher (0-1 yr),Full-time,"Python, Pandas",2.7,2024-11-16
14,Business Analyst,Accenture,gurgaon,On-site,Senior (5+ yrs),Contract,"SQL, Git, NumPy",16.6,2024-12-02
15,Senior Data Analyst,TCS,noida,Remote,Mid (3-5 yrs),Full-time,"Power BI, Git, Statistics",8.0,2024-08-08
16,Senior Data Analyst,HDFC Bank,hyderabad,On-site,Fresher (0-1 yr),Full-time,"Excel, NumPy, Statistics",3.7,2024-01-06
17,BI Analyst,Infosys,noida,Hybrid,Senior (5+ yrs),Contract,"Machine Learning, Statistics, Excel, SQL, Git",14.8,2024-12-18
18,Data Analyst,Swiggy,bangalore,On-site,Senior (5+ yrs),Internship,"Python, Machine Learning, SQL",23.1,2024-02-22
19,Business Analyst,Google India,hyderabad,Remote,Junior (1-3 yrs),Internship,"Git, SQL",5.7,2024-09-11
20,Data Scientist,IBM India,delhi,On-site,Mid (3-5 yrs),Contract,"Tableau, Statistics, Pandas",13.5,2024-01-15
21,Senior Data Analyst,Wipro,Pune,Remote,Mid (3-5 yrs),Full-time,"SQL, Power BI, Pandas, Excel",8.1,2024-12-10
